lat_group,long_group,lat+long_group,
47.51670804,-122.253,"47.51670803571437,-122.2529999999999",
47.71654018,-122.309,"47.71654017857156,-122.3089999999999",
47.73874375,-122.225,"47.73874375000014,-122.2249999999999",
47.51670804,-122.393,"47.51670803571437,-122.393",
47.61662411,-122.057,"47.61662410714297,-122.0569999999999",
47.66103125,-122.001,"47.66103125000012,-122.0009999999999",
47.30577411,-122.337,"47.30577410714289,-122.3369999999999",
47.40569018,-122.309,"47.40569017857149,-122.3089999999999",
47.51670804,-122.337,"47.51670803571437,-122.3369999999999",
47.37238482,-122.029,"47.37238482142862,-122.0289999999999",
47.60552232,-122.141,"47.60552232142868,-122.1409999999999",
47.69433661,-122.281,"47.69433660714299,-122.2809999999999",
47.76094732,-122.225,"47.76094732142872,-122.2249999999999",
47.67213304,-122.393,"47.67213303571441,-122.393",
47.57221696,-122.365,"47.57221696428581,-122.365",
47.72764196,-121.973,"47.72764196428585,-121.9729999999999",
47.66103125,-122.337,"47.66103125000012,-122.3369999999999",
47.30577411,-122.197,"47.30577410714289,-122.1969999999999",
47.33907946,-122.309,"47.33907946428576,-122.3089999999999",
47.70543839,-122.337,"47.70543839285727,-122.3369999999999",
47.52780982,-122.225,"47.52780982142866,-122.2249999999999",
47.32797768,-122.169,"47.32797767857147,-122.1689999999999",
47.35018125,-122.169,"47.35018125000005,-122.1689999999999",
47.37238482,-122.169,"47.37238482142862,-122.1689999999999",
47.30577411,-122.225,"47.30577410714289,-122.2249999999999",
47.63882768,-122.365,"47.63882767857154,-122.365",
47.61662411,-122.309,"47.61662410714297,-122.3089999999999",
47.69433661,-122.309,"47.69433660714299,-122.3089999999999",
47.70543839,-122.113,"47.70543839285727,-122.1129999999999",
47.53891161,-122.057,"47.53891160714295,-122.0569999999999",
47.72764196,-122.365,"47.72764196428585,-122.365",
47.68323482,-122.365,"47.6832348214287,-122.365",
47.69433661,-122.365,"47.69433660714299,-122.365",
47.42789375,-122.169,"47.42789375000007,-122.1689999999999",
47.68323482,-122.309,"47.6832348214287,-122.3089999999999",
47.66103125,-122.141,"47.66103125000012,-122.1409999999999",
47.67213304,-122.365,"47.67213303571441,-122.365",
47.33907946,-122.281,"47.33907946428576,-122.2809999999999",
47.52780982,-122.169,"47.52780982142866,-122.1689999999999",
47.61662411,-122.029,"47.61662410714297,-122.0289999999999",
47.45009732,-122.337,"47.45009732142864,-122.3369999999999",
47.68323482,-122.029,"47.6832348214287,-122.0289999999999",
47.45009732,-122.169,"47.45009732142864,-122.1689999999999",
47.74984554,-121.973,"47.74984553571443,-121.9729999999999",
47.30577411,-122.365,"47.30577410714289,-122.365",
47.61662411,-122.141,"47.61662410714297,-122.1409999999999",
47.40569018,-122.449,"47.40569017857149,-122.449",
47.42789375,-122.309,"47.42789375000007,-122.3089999999999",
47.49450446,-122.197,"47.4945044642858,-122.1969999999999",
47.68323482,-122.393,"47.6832348214287,-122.393",
47.66103125,-122.281,"47.66103125000012,-122.2809999999999",
47.36128304,-122.113,"47.36128303571434,-122.1129999999999",
47.58331875,-122.113,"47.5833187500001,-122.1129999999999",
47.50560625,-122.141,"47.50560625000008,-122.1409999999999",
47.43899554,-122.337,"47.43899553571435,-122.3369999999999",
47.67213304,-122.309,"47.67213303571441,-122.3089999999999",
47.57221696,-122.309,"47.57221696428581,-122.3089999999999",
47.58331875,-122.197,"47.5833187500001,-122.1969999999999",
47.33907946,-122.253,"47.33907946428576,-122.2529999999999",
47.62772589,-122.225,"47.62772589285726,-122.2249999999999",
47.64992946,-122.169,"47.64992946428583,-122.1689999999999",
47.73874375,-122.169,"47.73874375000014,-122.1689999999999",
47.71654018,-122.281,"47.71654017857156,-122.2809999999999",
47.36128304,-122.029,"47.36128303571434,-122.0289999999999",
47.35018125,-122.085,"47.35018125000005,-122.0849999999999",
47.58331875,-122.001,"47.5833187500001,-122.0009999999999",
47.60552232,-122.113,"47.60552232142868,-122.1129999999999",
47.56111518,-122.393,"47.56111517857153,-122.393",
47.33907946,-122.029,"47.33907946428576,-122.0289999999999",
47.35018125,-122.001,"47.35018125000005,-122.0009999999999",
47.35018125,-122.029,"47.35018125000005,-122.0289999999999",
47.55001339,-122.281,"47.55001339285724,-122.2809999999999",
47.48340268,-122.141,"47.48340267857151,-122.1409999999999",
47.72764196,-122.309,"47.72764196428585,-122.3089999999999",
47.29467232,-122.197,"47.29467232142861,-122.1969999999999",
47.52780982,-122.197,"47.52780982142866,-122.1969999999999",
47.51670804,-122.197,"47.51670803571437,-122.1969999999999",
47.53891161,-122.393,"47.53891160714295,-122.393",
47.29467232,-122.365,"47.29467232142861,-122.365",
47.64992946,-122.393,"47.64992946428583,-122.393",
47.31687589,-122.365,"47.31687589285718,-122.365",
47.58331875,-122.253,"47.5833187500001,-122.2529999999999",
47.36128304,-122.281,"47.36128303571434,-122.2809999999999",
47.40569018,-121.945,"47.40569017857149,-121.9449999999999",
47.48340268,-121.721,"47.48340267857151,-121.7209999999998",
47.63882768,-122.309,"47.63882767857154,-122.3089999999999",
47.77204911,-122.085,"47.772049107143,-122.0849999999999",
47.43899554,-122.197,"47.43899553571435,-122.1969999999999",
47.43899554,-122.141,"47.43899553571435,-122.1409999999999",
47.38348661,-122.309,"47.38348660714291,-122.3089999999999",
47.72764196,-122.085,"47.72764196428585,-122.0849999999999",
47.63882768,-122.113,"47.63882767857154,-122.1129999999999",
47.68323482,-122.337,"47.6832348214287,-122.3369999999999",
47.55001339,-122.309,"47.55001339285724,-122.3089999999999",
47.31687589,-122.253,"47.31687589285718,-122.2529999999999",
