lat+long_group,Number of Predatory Lenders
"47.51670803571437,-122.2529999999999",0
"47.71654017857156,-122.3089999999999",0
"47.73874375000014,-122.2249999999999",0
"47.51670803571437,-122.393",0
"47.61662410714297,-122.0569999999999",0
"47.66103125000012,-122.0009999999999",0
"47.30577410714289,-122.3369999999999",0
"47.40569017857149,-122.3089999999999",0
"47.51670803571437,-122.3369999999999",0
"47.37238482142862,-122.0289999999999",0
"47.60552232142868,-122.1409999999999",0
"47.69433660714299,-122.2809999999999",0
"47.76094732142872,-122.2249999999999",0
"47.67213303571441,-122.393",0
"47.57221696428581,-122.365",0
"47.72764196428585,-121.9729999999999",0
"47.66103125000012,-122.3369999999999",0
"47.30577410714289,-122.1969999999999",0
"47.33907946428576,-122.3089999999999",0
"47.70543839285727,-122.3369999999999",0
"47.52780982142866,-122.2249999999999",0
"47.32797767857147,-122.1689999999999",0
"47.35018125000005,-122.1689999999999",0
"47.37238482142862,-122.1689999999999",0
"47.30577410714289,-122.2249999999999",0
"47.63882767857154,-122.365",0
"47.61662410714297,-122.3089999999999",0
"47.69433660714299,-122.3089999999999",0
"47.70543839285727,-122.1129999999999",0
"47.53891160714295,-122.0569999999999",0
"47.72764196428585,-122.365",0
"47.6832348214287,-122.365",0
"47.69433660714299,-122.365",0
"47.42789375000007,-122.1689999999999",0
"47.6832348214287,-122.3089999999999",0
"47.66103125000012,-122.1409999999999",0
"47.67213303571441,-122.365",0
"47.33907946428576,-122.2809999999999",0
"47.52780982142866,-122.1689999999999",0
"47.61662410714297,-122.0289999999999",0
"47.45009732142864,-122.3369999999999",0
"47.6832348214287,-122.0289999999999",0
"47.45009732142864,-122.1689999999999",0
"47.74984553571443,-121.9729999999999",0
"47.30577410714289,-122.365",0
"47.61662410714297,-122.1409999999999",1
"47.40569017857149,-122.449",0
"47.42789375000007,-122.3089999999999",0
"47.4945044642858,-122.1969999999999",0
"47.6832348214287,-122.393",0
"47.66103125000012,-122.2809999999999",0
"47.36128303571434,-122.1129999999999",0
"47.5833187500001,-122.1129999999999",0
"47.50560625000008,-122.1409999999999",0
"47.43899553571435,-122.3369999999999",0
"47.67213303571441,-122.3089999999999",0
"47.57221696428581,-122.3089999999999",0
